bulan,total_order,gross_revenue,net_revenue,total_cogs,gross_profit,margin_pct
2023-01,94,1267492000.0,1210695950.0,899160000.0,311535950.0,25.73
2023-02,62,1083161000.0,1055736650.0,796015000.0,259721650.0,24.6
2023-03,108,1543978000.0,1466756900.0,1093055000.0,373701900.0,25.48
2023-04,83,1268660000.0,1207027250.0,911550000.0,295477250.0,24.48
2023-05,69,1159555000.0,1108187250.0,834540000.0,273647250.0,24.69
2023-06,56,817778000.0,772250600.0,581745000.0,190505600.0,24.67
2023-07,95,1607088000.0,1525577450.0,1152645000.0,372932450.0,24.45
2023-08,120,1676300000.0,1608238650.0,1200025000.0,408213650.0,25.38
2023-09,124,1547030000.0,1483942350.0,1093395000.0,390547350.0,26.32
2023-10,74,1000020000.0,948168000.0,707590000.0,240578000.0,25.37
2023-11,110,1754540000.0,1687391600.0,1264120000.0,423271600.0,25.08
2023-12,120,1914291000.0,1809590200.0,1370070000.0,439520200.0,24.29
2024-01,108,1927537000.0,1840547200.0,1403905000.0,436642200.0,23.72
2024-02,118,1754090000.0,1673201050.0,1254725000.0,418476050.0,25.01
2024-03,98,1295198000.0,1211552250.0,924905000.0,286647250.0,23.66
2024-04,81,1080610000.0,1037178600.0,765220000.0,271958600.0,26.22
2024-05,88,1327033000.0,1252613200.0,947450000.0,305163200.0,24.36
2024-06,83,1016140000.0,971825350.0,723295000.0,248530350.0,25.57
