product_name,category_name,total_qty_sold,net_revenue,profit,avg_disc_pct
MacBook Air M2,Laptop,364,7981802950.0,1429802950.0,4.4
iPhone 15,Smartphone,281,4221336150.0,849336150.0,5.7
Lenovo IdeaPad Slim 5,Laptop,320,3377242950.0,977242950.0,4.2
ASUS VivoBook 15,Laptop,319,2605368450.0,691368450.0,4.0
Samsung Galaxy A55,Smartphone,375,1794641000.0,482141000.0,4.2
Sony WH-1000XM5,Audio,292,1194477150.0,376877150.0,4.5
Xiaomi Redmi Note 13,Smartphone,318,790355900.0,217955900.0,4.7
JBL Charge 5,Audio,312,388465950.0,138865950.0,4.3
Air Fryer 4L,Peralatan Rumah,305,204911850.0,89011850.0,3.8
Sepatu Lari Running,Olahraga,305,146905600.0,79805600.0,3.5
