province,total_order,unique_customer,net_revenue,avg_order_value
Jawa Barat,365,62,5149436800.0,14108046.0
DKI Jakarta,213,45,2975845150.0,13971104.0
Jawa Tengah,190,33,2520385850.0,13265189.0
Bali,152,24,2511903950.0,16525684.0
Jawa Timur,174,30,2498725750.0,14360493.0
Sumatera Utara,157,25,2122903750.0,13521680.0
Kalimantan Timur,123,22,2057688000.0,16729171.0
Sumatera Selatan,133,24,1937796800.0,14569901.0
DI Yogyakarta,102,19,1142861000.0,11204520.0
Sulawesi Selatan,82,16,952933450.0,11621140.0
